COUNTRY,CAPITAL_CITY,ISO_ALPHA3,ISO_NUMERIC_M49,AIRPORT_CODE,REGION
South Sudan,Juba ,SSD,728,JUB,Sub-Saharan Africa
Spain,Madrid,ESP,724,MAD,Europe
Sri Lanka,Colombo,LKA,144,GOA,South & South East Asia
Sudan,Khartoum,SDN,736,KRT,Sub-Saharan Africa
Suriname,Paramaribo,SUR,740,PBM,South America
Swaziland,Mbabane,SWZ,748,,Sub-Saharan Africa
Sweden,Stockholm,SWE,752,SMP,Europe
Switzerland,Bern,CHE,756,ZDJ,Europe
Syria,Damascus,SYR,760,,Middle East
Taiwan,Taipei,TWN,158,TSA,East Asia
Tajikistan,Dushanbe,TJK,762,DYU,Middle East
Tanzania,Dar es Salaam,TZA,834,DAR,Sub-Saharan Africa
Thailand,Bangkok,THA,764,DMK,South & South East Asia
The Bahamas,Nassau,BHS,44,NAS,Caribbean
The Gambia,Banjul,GMB,270,BJL,Sub-Saharan Africa
Togo,Lome,TGO,768,LFW,Sub-Saharan Africa
Tonga,Nuku'alofa,TON,776,TBU,Oceania
Trinidad and Tobago,Port Spain,TTO,780,,Caribbean
Tunisia,Tunis,TUN,788,TUN,North Africa
Turkey,Ankara,TUR,792,ESB,Middle East
Turkmenistan,Ashgabat,TKM,795,ASB,Middle East
Tuvalu,Vaiaku village,TUV,798,,Oceania
Uganda,Kampala,UGA,800,,Sub-Saharan Africa
Ukraine,Kyiv,UKR,804,,North Asia
United Arab Emirates,Abu Dhabi,ARE,784,AUH,Middle East
United Kingdom,London,GBR,826,LCY,Europe
United States of America,Washington D.C.,USA,840,,North America
Uruguay,Montevideo,URY,858,MVE,South America
Uzbekistan,Tashkent,UZB,860,TAS,Middle East
Vanuatu,Port,VUT,548,IXZ,Oceania
Vatican City,Vatican City,VAT,336,,Europe
Venezuela,Caracas,VEN,862,CCS,South America
Vietnam,Hanoi,VNM,704,HAN,South & South East Asia
Yemen,Sanaa,YEM,887,SAH,Middle East
Zambia,Lusaka,ZMB,894,LUN,Sub-Saharan Africa
Zimbabwe,Harare,ZWE,716,HRE,Sub-Saharan Africa
